MONTH,TYPE,CIRCLE,DIVISION,SUB_DIVISION,SAMPLE,POWEROFF_PREV,KWH_PREV,ESO_PREV,POWEROFF_CURR,KWH_CURR,ESO_CURR,PER_CHANGE
202309,1PH ,SKT,2520 - ( U ),MIG DDA FLAT SAKET,"25,588",4.84,"84,97,436","60,859",3.12,"91,90,201","41,876",-35.54%
202309,1PH ,SKT,2520 - ( U ),MMTC,"2,530",2.46,"8,52,663","3,026",2.46,"9,30,254","3,221",0%
202309,1PH ,"TGN, MDK",2631,DSIDC MUNDKA,"24,927",9.92,"63,35,504","93,959",7.00,"69,55,274","73,263",-29.44%
202309,1PH ,"TGN, MDK",2631,SWARN PARK MUNDKA,"19,934",13.55,"51,76,042","1,00,728",10.64,"55,97,865","88,168",-21.48%
202309,1PH ,"TGN, MDK",2631,TIKRI,"7,234",22.62,"20,76,241","65,784",16.76,"21,74,040","49,743",-25.91%
202309,1PH ,"TGN, MDK",2641,24 BLK TILAK NAGAR,"27,273",4.45,"87,87,870","54,570",2.54,"94,71,292","33,667",-42.92%
202309,1PH ,"TGN, MDK",2641,A BLK TAGORE GARDEN,"32,972",4.40,"93,81,919","57,143",3.36,"1,00,44,314","44,696",-23.64%
202309,1PH ,"TGN, MDK",2641,MUKHERJI PARK,"38,750",5.00,"1,16,15,619","86,325",6.32,"1,23,87,747","1,15,528",26.4%
202309,1PH ,UTN,2651,BINDAPUR,"18,001",2.49,"46,60,936","16,152",3.04,"51,06,929","21,426",22.09%
202309,1PH ,UTN,2651,CHANAKYA PLACE,"14,916",9.07,"43,37,768","54,348",5.13,"47,18,714","34,317",-43.44%
202309,1PH ,UTN,2651,MILAP NAGAR,"30,281",3.79,"90,40,560","48,829",3.43,"98,81,781","47,691",-9.5%
202309,1PH ,VKJ,2521 - ( R ),BIJWASAN,"8,992",5.65,"26,84,395","22,281",5.59,"29,87,855","24,732",-1.06%
202309,1PH ,VKJ,2521 - ( R ),KAPASHERA,"13,798",7.53,"45,80,861","47,859",6.76,"49,87,074","46,721",-10.23%
202309,1PH ,VKJ,2521 - ( U ),B-1 VKJ,"26,056",5.79,"75,29,121","59,055",4.05,"84,00,314","45,629",-30.05%
202309,1PH ,VKJ,2521 - ( U ),C-9 VASANT KUNJ,"11,098",3.14,"44,05,537","17,570",3.22,"48,30,169","20,643",2.55%
202309,1PH ,VKJ,2521 - ( U ),D-4 VKJ,"8,244",5.02,"30,07,691","19,384",4.87,"33,44,808","21,815",-2.99%
202309,1PH ,VKJ,2521 - ( U ),MAHIPAL PUR,"20,447",8.02,"65,69,558","74,396",4.88,"72,06,659","47,709",-39.15%
202309,1PH ,VKP,2650,C BLOCK VKP,"20,405",2.43,"74,99,936","23,898",1.67,"81,33,526","18,679",-31.28%
202309,1PH ,VKP,2650,LIG-2 HASTSAL,"19,776",4.02,"51,83,150","29,724",3.80,"55,68,017","30,686",-5.47%
202309,1PH ,VKP,2650,SHIV VIHAR,"38,349",9.92,"88,99,064","1,24,746",9.39,"95,62,324","1,26,726",-5.34%
202311,LT  ,NHP,2530,GK 1,278,1.38,"13,32,756","2,176",1.68,"13,35,457","3,364",21.74%
202311,LT  ,NHP,2530,LAJPAT NAGAR IV,122,1.73,"5,45,838","1,457",0.61,"5,59,685",475,-64.74%
202311,LT  ,NHP,2530,OKHLA IND AREA PH-2 & PH-3,764,1.57,"43,22,535","9,832",0.76,"39,91,595","4,748",-51.59%
202311,LT  ,NZM,2540,DEFENCE COLONY,135,0.90,"7,00,668",829,0.57,"7,27,640",473,-36.67%
202311,LT  ,NZM,2540,JUNG PURA,69,1.13,"3,04,980",717,1.03,"2,95,535",371,-8.85%
202311,LT  ,NZM,2540,KILOKARI,36,2.82,"2,35,847","1,503",1.01,"3,05,397",504,-64.18%
202311,LT  ,NZM,2540,LAJPAT NAGAR-2,128,1.04,"6,78,592",937,1.49,"6,95,968","1,289",43.27%
202311,LT  ,NZM,2540,LODHI ROAD,69,1.56,"3,59,482",861,0.44,"3,47,658",404,-71.79%
202311,LT  ,PJB,2640,B 3 PASCHIM VIHAR,62,1.63,"2,82,264",700,1.75,"2,83,066",717,7.36%
202311,LT  ,PJB,2640,B BLK KARAMPURA,52,2.20,"3,17,124","1,009",1.30,"3,36,721",547,-40.91%
202311,LT  ,PJB,2640,ROAD NO-41 PUNJABI BAGH,117,1.72,"5,17,363","1,180",1.25,"5,05,544",805,-27.33%
202311,LT  ,PLM,2660,DABRI,18,1.80,"75,637",160,2.81,"61,225",256,56.11%
202311,LT  ,PLM,2660,KAILASHPURI,19,1.45,"73,052",112,2.52,"76,943",227,73.79%
202311,LT  ,PLM,2660,MANGLA PURI,52,0.87,"1,89,428",251,1.60,"2,64,240",446,83.91%
202311,LT  ,PLM,2660,SEC-9 DWK,66,3.92,"3,77,178","1,654",1.56,"4,17,727",701,-60.2%
202311,LT  ,"RKP, HKS",2550,MOTI BAGH,54,1.46,"2,87,536",418,1.19,"2,93,160",372,-18.49%
202311,LT  ,"RKP, HKS",2550,R.K. PURAM,99,0.73,"6,01,188",523,0.97,"5,93,300",883,32.88%
202311,LT  ,"RKP, HKS",2550,VASANT VIHAR,173,0.68,"7,35,736",679,0.91,"7,92,653",927,33.82%
202311,LT  ,"RKP, HKS",2551,ANDREWS GANJ POLICE COLONY,139,0.94,"7,28,357","1,041",0.68,"8,21,974",675,-27.66%
202311,LT  ,"RKP, HKS",2551,GREEN PARK,180,1.11,"9,85,798","1,402",0.74,"10,42,854","1,292",-33.33%
202311,LT  ,"RKP, HKS",2551,KATWARIA SARAI,40,0.61,"1,26,447",90,0.28,"1,35,222",107,-54.1%
202311,LT  ,"RKP, HKS",2551,RBI HAUZ KHAS,103,1.01,"6,24,180",647,0.88,"6,21,041",953,-12.87%
202311,LT  ,SKT,2520,MALVIYA NAGAR,61,1.48,"2,92,604",727,0.86,"2,93,672",356,-41.89%
202311,LT  ,SKT,2520,MIG DDA FLAT SAKET,119,2.35,"5,70,589","1,592",1.93,"5,67,070","1,291",-17.87%
202311,LT  ,SKT,2520,MMTC,59,1.34,"2,55,642",521,0.66,"2,27,256",210,-50.75%
202311,LT  ,"TGN, MDK",2631,DSIDC MUNDKA,143,9.04,"9,77,916","12,997",6.51,"8,63,813","6,242",-27.99%
202311,LT  ,"TGN, MDK",2631,SWARN PARK MUNDKA,553,7.34,"39,96,229","42,908",13.68,"37,00,095","80,146",86.38%
202311,LT  ,"TGN, MDK",2631,TIKRI,162,8.38,"16,51,777","16,417",10.58,"15,26,332","23,008",26.25%
202311,LT  ,"TGN, MDK",2641,24 BLK TILAK NAGAR,58,2.51,"3,63,842","1,356",1.54,"3,80,898",837,-38.65%
202311,LT  ,"TGN, MDK",2641,A BLK TAGORE GARDEN,72,4.64,"5,18,417","2,646",1.95,"4,82,980","1,379",-57.97%
202311,LT  ,"TGN, MDK",2641,MUKHERJI PARK,60,7.29,"2,56,159","2,214",6.71,"2,39,369","1,958",-7.96%
202311,LT  ,UTN,2651,BINDAPUR,14,0.72,"51,250",54,0.97,"47,185",47,34.72%
202311,LT  ,UTN,2651,CHANAKYA PLACE,4,4.53,"13,565",50,1.46,"15,764",23,-67.77%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( NJF ),ANAJMANDI,"11,105",19.29,"12,77,532","30,941",13.26,"14,63,334","26,221",-31.26%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( NJF ),DAULATPUR,"2,982",26.70,"3,94,922","16,267",15.64,"4,49,037","10,331",-41.42%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( NJF ),DELHI GATE,"17,991",9.10,"23,54,975","30,928",12.23,"26,59,183","46,360",34.4%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2620 - ( NJF ),JHATIKRA MORE,"16,339",6.35,"21,93,399","20,524",7.12,"25,14,112","25,677",12.13%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2621 - ( JFP ),DHANSA,"2,000",20.33,"2,23,812","6,875",26.83,"2,76,089","10,721",31.97%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2621 - ( JFP ),GHUMENHERA,"1,359",18.40,"1,64,446","4,614",15.94,"2,10,534","5,053",-13.37%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2621 - ( JFP ),UJAWA,"4,401",19.59,"5,30,300","15,801",16.64,"6,71,231","16,224",-15.06%
202402,1PH ,"CWL, NJF, JFP, MITRAON",2621 - (MITRAON),CRPF,"9,717",12.95,"12,22,013","23,631",10.07,"14,01,447","20,523",-22.24%
